p_max,algorithm,avg_secrecy_sum,avg_legit_rate_sum,avg_eaves_rate_sum,qos_satisfaction_rate,secrecy_outage_prob,avg_decision_time_ms
6.0,DDPG,0.9586861821170403,2.2135392603270203,1.7564092292144386,0.332,0.24,0.04931316399961361
6.0,TD3,0.8909461228027787,2.512607567745718,2.1559689888970595,0.38,0.268,0.04721054798574187
6.0,SAC,0.8136063011452909,1.9806926139335475,1.6369130843621962,0.172,0.228,0.05522630800260231
6.0,Imitation,1.000891607381789,2.1483770189843363,1.5772267785145935,0.004,0.232,0.03543051600900071
6.0,Heuristic,0.951565888779067,1.8804352539897404,1.236408450757746,0.096,0.244,0.0021295439946698025
6.0,Grid,0.9874784121826454,2.2889368250264615,1.847022785110093,0.46,0.244,1.8821701879951434
6.0,DDPG_NoJammer,0.8516204561548534,2.4326792031422295,2.1559708240711166,0.448,0.272,0.058563139971738565
10.0,DDPG,0.9446670359810418,2.62930561062693,2.4490389262838317,0.592,0.364,0.04755249201116385
10.0,TD3,0.7349468683836631,2.9782693518261207,3.096855258029267,0.648,0.476,0.04876757199599524
10.0,SAC,0.8214818490114033,2.4268563651649258,2.253139877280094,0.268,0.336,0.05143492800198146
10.0,Imitation,0.9794535798417268,2.6422645361289168,2.3152065703277813,0.464,0.328,0.03130857599535375
10.0,Heuristic,0.9864699772784904,2.2161749404318734,1.6961917418064847,0.22,0.296,0.0020554920029098867
10.0,Grid,0.9942374867215608,2.6896975738794175,2.4499875903548203,0.58,0.38,1.938853287983875
10.0,DDPG_NoJammer,0.7292021161429182,2.939931211625568,3.096855265864239,0.644,0.476,0.0573390240133449
14.0,DDPG,1.0477717066002512,2.9689519057421885,2.944133532785643,0.592,0.364,0.04841223601033562
14.0,TD3,0.8640946465396215,3.1638928315698687,3.344172689383201,0.632,0.412,0.05023265200179594
14.0,SAC,0.9967158557446544,2.6536499293010625,2.396721706554831,0.236,0.324,0.055300979962339625
14.0,Imitation,1.0860793414465246,3.0814698183683986,2.888963958881441,0.54,0.364,0.03244899598030315
14.0,Heuristic,1.1156643479291424,2.3595456399504435,1.783405268359768,0.196,0.272,0.0020204879856464686
14.0,Grid,1.1863972044379434,3.025671945343717,2.745184837673039,0.528,0.344,1.999868119995881
14.0,DDPG_NoJammer,0.8836892418625724,3.1625236794310916,3.3441726973095793,0.596,0.408,0.049394179999580956
