qos_threshold,algorithm,avg_secrecy_sum,avg_legit_rate_sum,avg_eaves_rate_sum,qos_satisfaction_rate,sic_feasible_rate,secrecy_outage_prob,avg_decision_time_ms
0.5,Random,0.8769976555850911,1.8816683101319598,1.3615160080405397,0.258,0.601,0.305,0.007427488004850602
0.5,Equal,0.9745365217164651,1.825808220632347,1.1762702683998545,0.413,0.602,0.249,0.0005815939953208726
0.5,Heuristic,1.0506739714656295,2.203635879364806,1.5387154158512426,0.611,0.613,0.247,0.0020633580111280025
0.5,Grid,1.2328792198880267,2.7319478217703677,2.0776436173730968,0.761,0.667,0.294,1.7545979829924363
0.5,PSO,1.2393835272211364,2.76128069560297,2.1097530072553465,0.785,0.672,0.295,6.898243868001828
1.0,Random,0.8769976555850911,1.8816683101319598,1.3615160080405397,0.068,0.601,0.305,0.0052684280021821905
1.0,Equal,0.9745365217164651,1.825808220632347,1.1762702683998545,0.0,0.602,0.249,0.0006168160061861272
1.0,Heuristic,1.0506739714656295,2.203635879364806,1.5387154158512426,0.215,0.613,0.247,0.002051252013188787
1.0,Grid,1.12264477412827,2.791000568958797,2.3405215373239625,0.598,0.648,0.315,1.7543396909968578
1.0,PSO,1.1333845454242877,2.8040275403323514,2.343505980679127,0.596,0.649,0.313,6.958975143996668
1.5,Random,0.8769976555850911,1.8816683101319598,1.3615160080405397,0.015,0.601,0.305,0.005250966001312918
1.5,Equal,0.9745365217164651,1.825808220632347,1.1762702683998545,0.0,0.602,0.249,0.0005831520052197448
1.5,Heuristic,1.0506739714656295,2.203635879364806,1.5387154158512426,0.0,0.613,0.247,0.002045292996626813
1.5,Grid,1.0098114169700398,2.8770437468822574,2.5654526864612617,0.333,0.633,0.356,1.8140027560007184
1.5,PSO,1.0182402022359842,2.8649737143416125,2.5475111520153444,0.36,0.637,0.35,6.980191523002759
2.0,Random,0.8769976555850911,1.8816683101319598,1.3615160080405397,0.0,0.601,0.305,0.0052835939927717845
2.0,Equal,0.9745365217164651,1.825808220632347,1.1762702683998545,0.0,0.602,0.249,0.000637810010175599
2.0,Heuristic,1.0506739714656295,2.203635879364806,1.5387154158512426,0.0,0.613,0.247,0.0020403489943419117
2.0,Grid,0.9556205965606166,2.9731266254488835,2.697182780875841,0.127,0.625,0.372,1.7994953140032521
2.0,PSO,0.9550578157804667,2.9542694870816666,2.684164847101766,0.145,0.626,0.372,6.941802989995267
